Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,7,Utah,306.0,7.0,1.67,76.2,90.6,61.8
2021,7,Vermont,65.0,56.0,7.55,64.9,73.8,55.9
2021,7,Virginia,366.0,0.0,4.56,75.9,86.7,65.1
2021,7,Washington,119.0,45.0,0.06,69.7,83.9,55.5
2021,7,West Virginia,248.0,2.0,3.31,72.2,83.4,60.9
2021,7,Wisconsin,186.0,17.0,4.35,69.4,80.9,57.9
2021,7,Wyoming,194.0,19.0,1.1,70.1,85.8,54.3
2021,8,Alabama,450.0,0.0,7.43,80.0,89.4,70.6
2021,8,Alaska,,,5.3,49.4,56.1,42.8
2021,8,Arizona,623.0,0.0,2.18,79.5,92.8,66.2
2021,8,Arkansas,478.0,0.0,3.02,80.7,90.7,70.7
2021,8,California,296.0,0.0,0.1,77.0,91.8,62.3
2021,8,Colorado,113.0,24.0,1.4,67.4,82.6,52.1
2021,8,Connecticut,259.0,0.0,5.08,72.8,81.6,64.0
2021,8,Delaware,369.0,0.0,5.47,76.9,85.8,68.0
2021,8,Florida,560.0,0.0,8.75,82.6,90.9,74.3
2021,8,Georgia,422.0,0.0,6.75,80.0,89.2,70.8
2021,8,Hawaii,,,4.0,69.2,76.6,61.8
2021,8,Idaho,143.0,49.0,1.24,63.9,78.8,49.1
2021,8,Illinois,312.0,5.0,3.73,75.5,86.0,65.1
2021,8,Indiana,309.0,2.0,3.42,75.0,85.5,64.6
2021,8,Iowa,261.0,13.0,4.65,72.9,84.1,61.6
2021,8,Kansas,446.0,1.0,2.53,79.1,91.9,66.2
2021,8,Kentucky,359.0,0.0,5.28,76.6,86.6,66.6
2021,8,Louisiana,546.0,0.0,6.19,82.6,91.7,73.5
2021,8,Maine,149.0,17.0,2.66,68.2,78.6,57.9
2021,8,Maryland,384.0,0.0,5.84,77.1,86.5,67.8
2021,8,Massachusetts,261.0,0.0,5.17,72.7,81.5,63.8
2021,8,Michigan,267.0,6.0,3.94,71.0,81.9,60.1
2021,8,Minnesota,176.0,24.0,4.08,69.4,81.2,57.6
2021,8,Mississippi,491.0,0.0,7.53,80.8,90.4,71.2
2021,8,Missouri,381.0,1.0,2.99,77.4,88.0,66.8
2021,8,Montana,55.0,125.0,2.05,64.7,79.0,50.4
2021,8,Nebraska,329.0,8.0,2.84,74.3,88.0,60.7
2021,8,Nevada,560.0,3.0,0.24,72.4,88.4,56.5
2021,8,New Hampshire,172.0,13.0,3.6,69.2,79.0,59.3
2021,8,New Jersey,326.0,0.0,6.59,75.9,84.8,66.9
2021,8,New Mexico,252.0,5.0,2.37,72.2,85.9,58.5
2021,8,New York,268.0,3.0,5.33,70.4,80.0,60.9
2021,8,North Carolina,410.0,0.0,6.06,77.8,87.3,68.3
2021,8,North Dakota,165.0,39.0,2.72,68.9,82.7,55.1
2021,8,Ohio,297.0,0.0,4.29,74.6,84.8,64.5
2021,8,Oklahoma,515.0,0.0,2.56,81.3,92.6,70.0
2021,8,Oregon,113.0,30.0,0.21,66.4,82.0,50.9
2021,8,Pennsylvania,286.0,2.0,5.89,72.6,82.7,62.4
2021,8,Rhode Island,267.0,0.0,5.26,73.6,81.7,65.5
2021,8,South Carolina,465.0,0.0,5.47,80.1,89.1,71.2
2021,8,South Dakota,241.0,19.0,2.55,72.5,86.8,58.1
2021,8,Tennessee,381.0,0.0,7.13,77.2,87.1,67.3
2021,8,Texas,569.0,0.0,2.79,81.9,92.8,71.0
2021,8,Utah,151.0,43.0,2.14,70.9,85.6,56.2
2021,8,Vermont,147.0,20.0,3.67,68.8,78.7,59.0
2021,8,Virginia,373.0,0.0,6.05,76.4,86.5,66.2
2021,8,Washington,81.0,57.0,0.68,65.8,78.4,53.3
2021,8,West Virginia,301.0,1.0,5.56,73.9,84.4,63.5
2021,8,Wisconsin,209.0,19.0,5.46,69.2,80.4,58.0
2021,8,Wyoming,78.0,75.0,1.47,64.1,79.6,48.6
2021,9,Alabama,256.0,7.0,4.83,73.9,83.7,64.2
2021,9,Alaska,,,4.27,39.4,46.2,32.5
2021,9,Arizona,485.0,1.0,1.29,74.8,88.7,60.8
2021,9,Arkansas,285.0,8.0,1.87,74.3,86.6,62.1
2021,9,California,192.0,11.0,0.36,72.2,86.6,57.7
2021,9,Colorado,50.0,116.0,1.23,62.4,78.2,46.5
2021,9,Connecticut,74.0,48.0,8.19,65.2,74.5,55.9
2021,9,Delaware,157.0,12.0,3.85,70.1,80.1,60.0
2021,9,Florida,469.0,0.0,7.07,79.7,88.3,71.1
2021,9,Georgia,214.0,8.0,5.52,73.8,84.3,63.2
2021,9,Hawaii,,,3.48,68.8,76.2,61.2
2021,9,Idaho,42.0,182.0,0.84,57.2,72.9,41.4
2021,9,Illinois,144.0,30.0,2.29,69.6,81.7,57.5
2021,9,Indiana,134.0,39.0,4.06,68.4,79.9,56.8
2021,9,Iowa,115.0,62.0,1.81,66.6,79.6,53.7
2021,9,Kansas,275.0,17.0,2.77,73.3,87.7,58.9
